"CRYPTOGRAPHY","51718","CO1","1.64","2.43","1.71"
"CRYPTOGRAPHY","51718","CO2","1.65","2.43","1.73"
"CRYPTOGRAPHY","51718","CO3","1.63","2.43","1.71"
"CRYPTOGRAPHY","51718","CO4","1.64","2.43","1.72"
"CRYPTOGRAPHY","51718","CO5","1.61","2.43","1.69"
"CRYPTOGRAPHY","51718","CO6","1.72","2.43","1.79"
"INFORMATION SECURITY","61705","CO1","1.55","2.55","1.65"
"INFORMATION SECURITY","61705","CO2","1.51","2.55","1.61"
"INFORMATION SECURITY","61705","CO3","1.55","2.55","1.65"
"INFORMATION SECURITY","61705","CO4","1.57","2.55","1.67"
"INFORMATION SECURITY","61705","CO5","1.53","2.55","1.64"
"INFORMATION SECURITY","61705","CO6","1.63","2.55","1.72"
"Management of Information System","61722","CO1","1.4","2.49","1.51"
"Management of Information System","61722","CO2","1.43","2.49","1.54"
"Management of Information System","61722","CO3","1.4","2.49","1.51"
"Management of Information System","61722","CO4","1.45","2.49","1.56"
"Management of Information System","61722","CO5","1.43","2.49","1.54"
"Management of Information System","61722","CO6","1.51","2.49","1.61"
"NETWORK SECURITY","61814","CO1","1.65","2.52","1.74"
"NETWORK SECURITY","61814","CO2","1.68","2.52","1.76"
"NETWORK SECURITY","61814","CO3","1.65","2.52","1.73"
"NETWORK SECURITY","61814","CO4","1.64","2.52","1.73"
"NETWORK SECURITY","61814","CO5","1.68","2.52","1.76"
"NETWORK SECURITY","61814","CO6","1.83","2.52","1.9"
"E-COMMERCE & ERP","61818","CO1","1.59","2.46","1.68"
"E-COMMERCE & ERP","61818","CO2","1.6","2.46","1.68"
"E-COMMERCE & ERP","61818","CO3","1.6","2.46","1.69"
"E-COMMERCE & ERP","61818","CO4","1.61","2.46","1.7"
"E-COMMERCE & ERP","61818","CO5","1.61","2.46","1.69"
"E-COMMERCE & ERP","61818","CO6","1.76","2.46","1.83"
"XML WEB SERVICES","61809","CO1","1.84","2.55","1.91"
"XML WEB SERVICES","61809","CO2","1.81","2.55","1.89"
"XML WEB SERVICES","61809","CO3","1.81","2.55","1.88"
"XML WEB SERVICES","61809","CO4","1.84","2.55","1.91"
"XML WEB SERVICES","61809","CO5","1.83","2.55","1.9"
"XML WEB SERVICES","61809","CO6","2.0","2.55","2.05"
"INTRUSION DETECTION","61808","CO1","1.69","2.55","1.78"
"INTRUSION DETECTION","61808","CO2","1.68","2.55","1.76"
"INTRUSION DETECTION","61808","CO3","1.66","2.55","1.75"
"INTRUSION DETECTION","61808","CO4","1.68","2.55","1.77"
"INTRUSION DETECTION","61808","CO5","1.7","2.55","1.79"
"INTRUSION DETECTION","61808","CO6","1.9","2.55","1.97"
"MULTIMEDIA TECHNOLOGY AND APPLICATION","61810","CO1","1.59","2.43","1.67"
"MULTIMEDIA TECHNOLOGY AND APPLICATION","61810","CO2","1.57","2.43","1.66"
"MULTIMEDIA TECHNOLOGY AND APPLICATION","61810","CO3","1.56","2.43","1.65"
"MULTIMEDIA TECHNOLOGY AND APPLICATION","61810","CO4","1.58","2.43","1.66"
"MULTIMEDIA TECHNOLOGY AND APPLICATION","61810","CO5","1.58","2.43","1.67"
"MULTIMEDIA TECHNOLOGY AND APPLICATION","61810","CO6","1.73","2.43","1.8"
